2022-05-06 08:00:00 100
2022-05-06 09:00:00 150
2022-05-06 10:00:00 120
2022-05-06 11:00:00 130
2022-05-06 12:00:00 140
2022-05-06 13:00:00 120
2022-05-06 14:00:00 180
2022-05-06 15:00:00 670
2022-05-06 16:00:00 670
2022-05-06 17:00:00 650
2022-05-06 18:00:00 444
2022-05-06 19:00:00 445
2022-05-06 20:00:00 234
2022-05-06 21:00:00 234
2022-05-06 22:00:00 34
2022-05-07 08:00:00 323
2022-05-07 09:00:00 321
2022-05-07 10:00:00 123
2022-05-07 11:00:00 678
2022-05-07 12:00:00 7867
2022-05-07 13:00:00 786
2022-05-07 14:00:00 45
2022-05-07 15:00:00 32
2022-05-07 16:00:00 346
2022-05-07 17:00:00 458
2022-05-07 18:00:00 9056
2022-05-07 19:00:00 305
2022-05-07 20:00:00 890
2022-05-07 21:00:00 1105
2022-05-07 22:00:00 200
2022-05-08 10:00:00 400
