2022-05-06 08:00:00 100
2022-05-06 09:00:00 110
2022-05-06 10:00:00 120
2022-05-06 11:00:00 130
2022-05-06 12:00:00 140
2022-05-06 13:00:00 150
2022-05-06 14:00:00 150
2022-05-06 15:00:00 140
2022-05-06 16:00:00 130
2022-05-06 17:00:00 120
2022-05-06 18:00:00 110
2022-05-06 19:00:00 100
2022-05-06 20:00:00 60
2022-05-06 21:00:00 50
2022-05-06 22:00:00 50
2022-05-07 08:00:00 80
2022-05-07 09:00:00 90
2022-05-07 10:00:00 100
2022-05-07 11:00:00 120
2022-05-07 12:00:00 130
2022-05-07 13:00:00 140
2022-05-07 14:00:00 140
2022-05-07 15:00:00 130
2022-05-07 16:00:00 120
2022-05-07 17:00:00 100
2022-05-07 18:00:00 100
2022-05-07 19:00:00 80
2022-05-07 20:00:00 70
2022-05-07 21:00:00 45
2022-05-07 22:00:00 48
2022-05-08 10:00:00 64
